Collecting CPU usage data for node 'worker' and metrics-server every 1 second(s) for 60 seconds...
[2024-05-10 17:31:38] Node 'worker': 142% CPU, Metrics-server: 4% CPU
[2024-05-10 17:31:39] Node 'worker': 155% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:40] Node 'worker': 104% CPU, Metrics-server: 9% CPU
[2024-05-10 17:31:41] Node 'worker': 106% CPU, Metrics-server: 9% CPU
[2024-05-10 17:31:42] Node 'worker': 106% CPU, Metrics-server: 12% CPU
[2024-05-10 17:31:43] Node 'worker': 101% CPU, Metrics-server: 9% CPU
[2024-05-10 17:31:44] Node 'worker': 143% CPU, Metrics-server: 9% CPU
[2024-05-10 17:31:45] Node 'worker': 114% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:47] Node 'worker': 93% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:48] Node 'worker': 131% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:49] Node 'worker': 142% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:50] Node 'worker': 110% CPU, Metrics-server: 13% CPU
[2024-05-10 17:31:51] Node 'worker': 110% CPU, Metrics-server: 9% CPU
[2024-05-10 17:31:52] Node 'worker': 120% CPU, Metrics-server: 9% CPU
[2024-05-10 17:31:53] Node 'worker': 102% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:55] Node 'worker': 147% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:56] Node 'worker': 147% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:57] Node 'worker': 151% CPU, Metrics-server: 6% CPU
[2024-05-10 17:31:58] Node 'worker': 168% CPU, Metrics-server: 7% CPU
[2024-05-10 17:31:59] Node 'worker': 154% CPU, Metrics-server: 8% CPU
[2024-05-10 17:32:00] Node 'worker': 143% CPU, Metrics-server: 8% CPU
[2024-05-10 17:32:02] Node 'worker': 125% CPU, Metrics-server: 5% CPU
[2024-05-10 17:32:03] Node 'worker': 114% CPU, Metrics-server: 5% CPU
[2024-05-10 17:32:04] Node 'worker': 114% CPU, Metrics-server: 8% CPU
[2024-05-10 17:32:05] Node 'worker': 149% CPU, Metrics-server: 8% CPU
[2024-05-10 17:32:06] Node 'worker': 115% CPU, Metrics-server: 10% CPU
[2024-05-10 17:32:07] Node 'worker': 112% CPU, Metrics-server: 10% CPU
[2024-05-10 17:32:09] Node 'worker': 113% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:10] Node 'worker': 128% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:11] Node 'worker': 130% CPU, Metrics-server: 14% CPU
[2024-05-10 17:32:12] Node 'worker': 168% CPU, Metrics-server: 6% CPU
[2024-05-10 17:32:13] Node 'worker': 168% CPU, Metrics-server: 6% CPU
[2024-05-10 17:32:14] Node 'worker': 119% CPU, Metrics-server: 12% CPU
[2024-05-10 17:32:15] Node 'worker': 114% CPU, Metrics-server: 9% CPU
[2024-05-10 17:32:17] Node 'worker': 140% CPU, Metrics-server: 5% CPU
[2024-05-10 17:32:18] Node 'worker': 166% CPU, Metrics-server: 5% CPU
[2024-05-10 17:32:19] Node 'worker': 143% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:20] Node 'worker': 114% CPU, Metrics-server: 15% CPU
[2024-05-10 17:32:21] Node 'worker': 114% CPU, Metrics-server: 15% CPU
[2024-05-10 17:32:22] Node 'worker': 124% CPU, Metrics-server: 12% CPU
[2024-05-10 17:32:24] Node 'worker': 124% CPU, Metrics-server: 5% CPU
[2024-05-10 17:32:25] Node 'worker': 125% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:26] Node 'worker': 112% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:27] Node 'worker': 112% CPU, Metrics-server: 6% CPU
[2024-05-10 17:32:28] Node 'worker': 146% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:29] Node 'worker': 122% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:30] Node 'worker': 122% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:32] Node 'worker': 102% CPU, Metrics-server: 13% CPU
[2024-05-10 17:32:33] Node 'worker': 95% CPU, Metrics-server: 5% CPU
[2024-05-10 17:32:34] Node 'worker': 95% CPU, Metrics-server: 20% CPU
[2024-05-10 17:32:35] Node 'worker': 148% CPU, Metrics-server: 20% CPU
[2024-05-10 17:32:36] Node 'worker': 148% CPU, Metrics-server: 9% CPU
[2024-05-10 17:32:37] Node 'worker': 161% CPU, Metrics-server: 6% CPU
[2024-05-10 17:32:38] Node 'worker': 153% CPU, Metrics-server: 5% CPU
[2024-05-10 17:32:40] Node 'worker': 115% CPU, Metrics-server: 13% CPU
[2024-05-10 17:32:41] Node 'worker': 110% CPU, Metrics-server: 8% CPU
[2024-05-10 17:32:42] Node 'worker': 173% CPU, Metrics-server: 13% CPU
[2024-05-10 17:32:43] Node 'worker': 98% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:44] Node 'worker': 98% CPU, Metrics-server: 7% CPU
[2024-05-10 17:32:45] Node 'worker': 135% CPU, Metrics-server: 8% CPU

Final Averages:
Node 'worker' Average CPU Usage: 127.55
Metrics-server Average CPU Usage: 8.43
