A,B,C,D,E,F,G,H,I,J
0,0,0.5,217.371,217.658,218.002,269.445,487.447,2.106,489.554
0,0,490.077,0.657,0.84,1.588,121.092,122.681,2.185,124.867
0,9,490.077,1.602,1.676,1.977,184.155,186.132,1.198,187.331
0,6,490.384,1.787,1.962,2.451,270.592,273.044,4.158,277.202
0,5,491.125,0.693,0.877,1.9,295.589,297.49,19.456,316.946
0,8,491.348,1.833,1.924,66.432,250.035,316.467,2.379,318.847
0,0,614.955,0.455,0.507,8.554,229.261,237.815,15.761,253.577
0,9,677.418,0.493,0.546,14.288,176.628,190.917,6.522,197.44
0,3,491.864,1.034,1.109,250.552,132.254,382.806,2.485,385.291
0,2,491.351,1.763,1.807,276.239,122.283,398.523,26.436,424.96
0,4,490.154,1.867,1.935,341.544,86.243,427.787,15.659,443.447
0,8,810.203,0.381,0.453,21.4,101.836,123.236,9.01,132.246
0,6,767.595,0.54,0.592,68.928,105.705,174.633,0.93,175.564
0,0,868.54,0.384,0.483,8.721,82.83,91.552,37.154,128.706
0,9,874.866,0.472,0.574,41.728,80.617,122.345,11.14,133.486
0,1,490.757,2.284,2.336,426.145,91.084,517.229,0.507,517.736
0,7,490.755,1.652,1.816,426.521,90.913,517.435,2.244,519.679
0,6,943.165,0.324,0.391,2.676,116.421,119.098,0.452,119.551
0,2,916.32,0.609,0.884,81.097,83.55,164.647,1.342,165.989
0,8,942.462,0.374,0.464,55.682,84.915,140.597,46.844,187.442
0,4,933.61,0.377,0.451,64.784,131.147,195.932,9.997,205.929
0,5,808.083,0.565,0.641,190.27,140.808,331.078,0.465,331.543
0,3,877.165,0.47,0.546,121.153,141.078,262.231,2.558,264.789
0,7,1010.442,0.372,0.441,2.201,129.116,131.318,7.148,138.467
0,6,1062.725,0.483,0.581,6.402,80.848,87.251,45.416,132.668
0,1,1008.502,1.579,1.706,65.348,121.324,186.672,1.251,187.924
0,0,997.256,0.402,0.832,76.472,121.367,197.839,18.513,216.353
0,9,1008.364,1.428,1.582,70.936,133.941,204.878,2.255,207.133
0,8,1129.916,0.458,0.551,19.07,113.216,132.287,0.38,132.667
0,4,1139.547,0.388,0.457,9.775,113.036,122.812,1.531,124.343
0,2,1082.318,0.352,0.43,67.775,112.768,180.543,22.578,203.122
0,5,1139.629,0.416,0.466,10.429,135.269,145.699,2.425,148.124
0,3,1141.962,0.394,0.472,53.375,92.295,145.67,0.212,145.883
0,0,1213.618,0.408,0.481,2.655,112.525,115.18,0.547,115.728
0,9,1215.504,0.427,0.672,2.233,111.382,113.615,1.145,114.761
0,6,1195.403,0.437,0.511,25.098,109.564,134.662,22.852,157.515
0,7,1148.919,0.486,1.021,138.981,91.884,230.865,16.504,247.369
0,4,1263.894,0.711,0.788,33.761,98.396,132.158,0.671,132.83
0,1,1196.433,0.301,0.364,100.757,99.252,200.01,1.116,201.126
0,8,1262.594,0.964,1.248,66.394,96.747,163.141,1.173,164.315
0,2,1285.445,0.209,0.254,43.808,97.338,141.146,0.548,141.694
0,9,1330.271,0.288,0.355,35.329,84.511,119.84,16.98,136.821
0,6,1352.928,0.474,0.579,12.904,100.981,113.886,0.517,114.403
0,0,1329.353,0.294,0.366,36.781,100.857,137.638,0.532,138.171
0,2,1427.143,0.532,0.58,9.336,79.756,89.093,1.239,90.332
0,4,1396.736,0.503,0.592,44.925,80.622,125.548,10.972,136.52
0,8,1426.921,0.631,0.71,15.906,90.068,105.975,1.38,107.356
0,5,1287.759,0.278,0.316,181.454,80.529,261.984,10.774,272.759
0,1,1397.566,0.268,0.324,99.635,82.55,182.186,8.445,190.632
0,0,1467.53,1.354,1.536,33.298,87.09,120.388,0.517,120.905
0,7,1396.3,0.593,0.684,104.729,87.108,191.838,1.133,192.971
0,9,1467.103,1.422,1.546,42.719,82.771,125.491,9.398,134.89
0,3,1287.85,0.245,0.272,248.437,79.849,328.286,9.318,337.605
0,6,1467.339,0.933,1.132,69.074,88.797,157.871,0.891,158.762
0,4,1533.267,0.449,0.548,42.003,81.379,123.383,9.108,132.491
0,2,1517.483,0.32,0.399,56.455,91.585,148.04,0.44,148.48
0,8,1534.284,0.425,0.48,39.738,91.427,131.166,1.247,132.413
0,5,1560.528,0.396,0.499,19.318,86.69,106.008,1.54,107.548
0,6,1626.109,0.34,0.43,6.88,82.575,89.455,0.568,90.023
0,1,1588.231,0.451,0.541,44.902,84.635,129.537,24.285,153.823
0,7,1589.279,0.288,0.352,57.597,94.892,152.489,0.555,153.044
0,9,1602.002,0.424,0.68,45.095,94.862,139.957,0.797,140.755
0,5,1668.084,0.29,0.351,29.143,84.196,113.34,26.201,139.542
0,4,1665.766,0.373,0.457,34.457,107.029,141.486,0.715,142.201
0,2,1665.971,0.303,0.375,47.175,94.572,141.748,0.861,142.609
0,0,1588.445,0.517,0.625,154.081,80.415,234.496,7.112,241.608
0,3,1625.463,0.647,0.751,143.666,83.075,226.742,21.951,248.694
0,7,1742.325,0.53,0.624,25.438,84.393,109.831,22.061,131.893
0,1,1742.079,0.555,0.659,34.769,97.152,131.921,0.364,132.286
0,8,1666.705,0.883,1.046,113.237,94.162,207.4,1.118,208.519
0,2,1808.586,0.3,0.362,21.568,78.537,100.106,1.979,102.085
0,0,1830.064,0.405,0.481,7.114,81.532,88.647,2.392,91.04
0,6,1716.143,0.49,0.557,121.371,87.089,208.46,14.395,222.856
0,5,1807.634,0.442,0.527,36.463,94.602,131.065,1.369,132.434
0,8,1875.228,0.164,0.198,3.582,79.597,83.179,1.504,84.684
0,1,1874.367,0.562,0.645,28.304,79.054,107.358,0.456,107.815
0,4,1807.975,0.4,0.482,99.4,81.109,180.509,1.133,181.643
0,9,1742.773,0.339,0.39,168.948,80.077,249.025,2.367,251.393
0,3,1874.166,0.495,0.593,38.988,84.602,123.59,7.982,131.572
0,8,1959.921,0.415,0.494,9.861,82.855,92.717,2.765,95.483
0,2,1910.682,0.995,1.109,69.161,85.346,154.507,1.625,156.133
0,0,1921.114,0.394,0.473,92.984,80.599,173.584,1.153,174.738
0,3,2005.748,0.476,0.556,7.441,83.841,91.283,1.422,92.705
0,5,1940.076,0.325,0.401,73.91,84.342,158.253,1.718,159.972
0,7,1874.22,0.557,0.642,140.027,91.031,231.059,1.754,232.814
0,6,1939.008,0.377,0.455,95.473,81.569,177.042,1.072,178.115
0,4,1989.626,0.314,0.388,51.23,81.724,132.955,11.694,144.65
0,9,1994.183,0.321,0.394,57.158,82.743,139.902,0.758,140.66
0,2,2066.819,0.204,0.259,13.808,84.448,98.256,1.366,99.623
0,1,1982.189,0.295,0.368,99.448,85.395,184.843,1.56,186.403
0,8,2055.408,0.203,0.253,51.567,82.101,133.668,1.073,134.741
0,9,2134.846,0.25,0.306,16.106,85.649,101.755,0.176,101.931
0,1,2168.598,0.229,0.302,6.826,81.481,88.307,1.143,89.45
0,4,2134.304,0.373,0.492,45.962,81.137,127.099,0.549,127.648
0,7,2107.039,0.483,0.555,73.813,81.641,155.455,1.562,157.017
0,6,2117.128,0.208,0.255,63.776,83.028,146.805,1.656,148.461
0,8,2190.154,0.225,0.285,29.098,80.996,110.094,1.344,111.439
0,9,2236.784,0.256,0.32,4.01,82.88,86.89,2.12,89.011
0,2,2166.449,0.317,0.395,80.763,84.208,164.971,2.32,167.291
0,5,2100.052,0.294,0.365,146.743,86.973,233.716,0.672,234.389
0,3,2098.458,0.241,0.3,150.5,84.733,235.234,1.292,236.526
0,0,2095.857,0.215,0.271,153.005,85.917,238.923,0.534,239.458
0,6,2265.593,0.182,0.218,20.159,80.738,100.897,1.449,102.347
0,4,2261.957,0.207,0.256,42.386,82.309,124.696,1.433,126.13
0,7,2264.061,0.243,0.288,51.339,80.631,131.97,0.973,132.943
0,8,2301.604,0.391,0.474,24.05,81.886,105.937,1.805,107.743
0,1,2258.053,0.206,0.26,93.644,81.876,175.52,1.331,176.852
0,0,2335.321,0.204,0.245,21.603,81.849,103.452,0.941,104.394
0,6,2367.949,0.434,0.515,6.274,83.161,89.435,4.495,93.931
0,3,2334.991,0.332,0.403,58.507,88.463,146.971,1.116,148.088
0,8,2409.356,0.385,0.463,13.78,83.24,97.02,0.344,97.364
0,5,2334.448,0.364,0.451,106.034,82.488,188.523,1.39,189.914
0,9,2325.809,0.429,0.506,114.736,84.279,199.015,1.209,200.225
0,2,2333.745,0.423,0.517,106.853,85.698,192.551,1.745,194.296
0,4,2388.097,0.399,0.498,67.532,84.096,151.628,0.599,152.228
0,3,2483.086,0.35,0.427,19.21,81.612,100.822,3.51,104.333
0,1,2434.913,0.435,0.577,86.727,83.002,169.729,1.902,171.632
0,7,2397.012,0.331,0.416,142.874,80.866,223.74,1.672,225.413
0,6,2461.891,0.36,0.441,78.194,82.238,160.433,0.613,161.046
0,9,2526.038,0.665,0.74,32.614,86.809,119.423,1.275,120.699
0,4,2540.332,0.326,0.387,42.093,80.618,122.711,2.268,124.979
0,8,2506.727,0.378,0.456,99.838,79.225,179.064,0.294,179.358
0,6,2622.939,0.33,0.385,1.186,81.73,82.917,2.248,85.165
0,3,2587.429,0.61,0.72,59.939,82.437,142.376,0.97,143.346
0,1,2606.549,0.391,0.459,40.636,83.436,124.072,2.096,126.169
0,7,2622.432,0.383,0.463,30.735,80.765,111.501,0.733,112.234
0,2,2528.046,0.199,0.244,128.905,85.696,214.602,0.334,214.936
0,4,2665.318,0.312,0.399,26.866,81.414,108.281,0.222,108.504
0,5,2524.369,0.329,0.413,167.907,84.934,252.841,1.305,254.147
0,8,2686.096,0.401,0.494,7.747,85.181,92.928,2.125,95.053
0,0,2439.722,0.357,0.696,254.259,89.099,343.358,2.809,346.167
0,9,2646.75,0.681,0.799,73.064,84.639,157.704,3.532,161.236
0,6,2708.115,0.4,0.481,14.501,86.758,101.259,0.934,102.194
0,3,2730.783,0.303,0.377,35.013,88.845,123.858,1.666,125.524
0,1,2732.726,0.318,0.414,53.138,78.873,132.011,0.237,132.249
0,0,2785.893,0.375,0.447,25.451,83.295,108.746,4.165,112.911
0,9,2807.993,0.31,0.384,35.981,91.657,127.639,0.466,128.106
0,2,2742.992,0.403,0.56,101.119,91.707,192.827,5.458,198.285
0,8,2781.157,0.365,0.446,70.781,90.886,161.667,0.817,162.484
0,1,2864.982,0.311,0.402,19.474,86.691,106.165,3.435,109.601
0,3,2856.319,0.429,0.493,54.672,82.88,137.553,0.33,137.884
