# TODO: this file has not yet been included in the main CLDR release.
# The intent is to verify this file against the Go implementation and then
# correct the cases and add merge in other interesting test cases.
# See TestCLDRCompliance in match_test.go, as well as the list of exceptions
# defined in the map skip below it, for the work in progress.

# Data-driven test for the XLocaleMatcher.
# Format
# • Everything after "#" is a comment
# • Arguments are separated by ";". They are:

# supported ; desired ; expected

# • The supported may have the threshold distance reset as a first item, eg 50, en, fr
# A line starting with @debug will reach a statement in the test code where you can put a breakpoint for debugging
# The test code also supports reformatting this file, by setting the REFORMAT flag.

##################################################
# testParentLocales

# es-419, es-AR, and es-MX are in a cluster; es is in a different one

es-419, es-ES ; 	es-AR ; 	es-419
es-ES, es-419 ; 	es-AR ; 	es-419

es-419, es ; 	es-AR ; 	es-419
es, es-419 ; 	es-AR ; 	es-419

es-MX, es ; 	es-AR ; 	es-MX
es, es-MX ; 	es-AR ; 	es-MX

# en-GB, en-AU, and en-NZ are in a cluster; en in a different one

en-GB, en-US ; 	en-AU ; 	en-GB
en-US, en-GB ; 	en-AU ; 	en-GB

en-GB, en ; 	en-AU ; 	en-GB
en, en-GB ; 	en-AU ; 	en-GB

en-NZ, en-US ; 	en-AU ; 	en-NZ
en-US, en-NZ ; 	en-AU ; 	en-NZ

en-NZ, en ; 	en-AU ; 	en-NZ
en, en-NZ ; 	en-AU ; 	en-NZ

# pt-AU and pt-PT in one cluster; pt-BR in another

pt-PT, pt-BR ; 	pt-AO ; 	pt-PT
pt-BR, pt-PT ; 	pt-AO ; 	pt-PT

pt-PT, pt ; 	pt-AO ; 	pt-PT
pt, pt-PT ; 	pt-AO ; 	pt-PT

zh-MO, zh-TW ; 	zh-HK ; 	zh-MO
zh-TW, zh-MO ; 	zh-HK ; 	zh-MO

zh-MO, zh-TW ; 	zh-HK ; 	zh-MO
zh-TW, zh-MO ; 	zh-HK ; 	zh-MO

zh-MO, zh-CN ; 	zh-HK ; 	zh-MO
zh-CN, zh-MO ; 	zh-HK ; 	zh-MO

zh-MO, zh ; 	zh-HK ; 	zh-MO
zh, zh-MO ; 	zh-HK ; 	zh-MO

##################################################
# testChinese

zh-CN, zh-TW, iw ; 	zh-Hant-TW ; 	zh-TW
zh-CN, zh-TW, iw ; 	zh-Hant ; 	zh-TW
zh-CN, zh-TW, iw ; 	zh-TW ; 	zh-TW
zh-CN, zh-TW, iw ; 	zh-Hans-CN ; 	zh-CN
zh-CN, zh-TW, iw ; 	zh-CN ; 	zh-CN
zh-CN, zh-TW, iw ; 	zh ; 	zh-CN

##################################################
# testenGB

fr, en, en-GB, es-419, es-MX, es ; 	en-NZ ; 	en-GB
fr, en, en-GB, es-419, es-MX, es ; 	es-ES ; 	es
fr, en, en-GB, es-419, es-MX, es ; 	es-AR ; 	es-419
fr, en, en-GB, es-419, es-MX, es ; 	es-MX ; 	es-MX

##################################################
# testFallbacks

91, en, hi ; 	sa ; 	hi

##################################################
# testBasics

fr, en-GB, en ; 	en-GB ; 	en-GB
fr, en-GB, en ; 	en ; 	en
fr, en-GB, en ; 	fr ; 	fr
fr, en-GB, en ; 	ja ; 	fr	# return first if no match

##################################################
# testFallback

# check that script fallbacks are handled right

zh-CN, zh-TW, iw ; 	zh-Hant ; 	zh-TW
zh-CN, zh-TW, iw ; 	zh ; 	zh-CN
zh-CN, zh-TW, iw ; 	zh-Hans-CN ; 	zh-CN
zh-CN, zh-TW, iw ; 	zh-Hant-HK ; 	zh-TW
zh-CN, zh-TW, iw ; 	he-IT ; 	iw

##################################################
# testSpecials

# check that nearby languages are handled

en, fil, ro, nn ; 	tl ; 	fil
en, fil, ro, nn ; 	mo ; 	ro
en, fil, ro, nn ; 	nb ; 	nn

# make sure default works

en, fil, ro, nn ; 	ja ; 	en

##################################################
# testRegionalSpecials

# verify that en-AU is closer to en-GB than to en (which is en-US)

en, en-GB, es, es-419 ; 	es-MX ; 	es-419
en, en-GB, es, es-419 ; 	en-AU ; 	en-GB
en, en-GB, es, es-419 ; 	es-ES ; 	es

##################################################
# testHK

# HK and MO are closer to each other for Hant than to TW

zh, zh-TW, zh-MO ; 	zh-HK ; 	zh-MO
zh, zh-TW, zh-HK ; 	zh-MO ; 	zh-HK

##################################################
# testMatch-exact

# see localeDistance.txt

##################################################
# testMatch-none

# see localeDistance.txt

##################################################
# testMatch-matchOnMazimized

zh, zh-Hant ; 	und-TW ; 	zh-Hant	# und-TW should be closer to zh-Hant than to zh
en-Hant-TW, und-TW ; 	zh-Hant ; 	und-TW	# zh-Hant should be closer to und-TW than to en-Hant-TW
en-Hant-TW, und-TW ; 	zh ; 	und-TW	# zh should be closer to und-TW than to en-Hant-TW

##################################################
# testMatchGrandfatheredCode

fr, i-klingon, en-Latn-US ; 	en-GB-oed ; 	en-Latn-US

##################################################
# testGetBestMatchForList-exactMatch
fr, en-GB, ja, es-ES, es-MX ; 	ja, de ; 	ja

##################################################
# testGetBestMatchForList-simpleVariantMatch
fr, en-GB, ja, es-ES, es-MX ; 	de, en-US ; 	en-GB	# Intentionally avoiding a perfect-match or two candidates for variant matches.

# Fallback.

fr, en-GB, ja, es-ES, es-MX ; 	de, zh ; 	fr

##################################################
# testGetBestMatchForList-matchOnMaximized
# Check that if the preference is maximized already, it works as well.

en, ja ; 	ja-Jpan-JP, en-AU ; 	ja	# Match for ja-Jpan-JP (maximized already)

# ja-JP matches ja on likely subtags, and it's listed first, thus it wins over the second preference en-GB.

en, ja ; 	ja-JP, en-US ; 	ja	# Match for ja-Jpan-JP (maximized already)

# Check that if the preference is maximized already, it works as well.

en, ja ; 	ja-Jpan-JP, en-US ; 	ja	# Match for ja-Jpan-JP (maximized already)

##################################################
# testGetBestMatchForList-noMatchOnMaximized
# Regression test for http://b/5714572 .
# de maximizes to de-DE. Pick the exact match for the secondary language instead.
en, de, fr, ja ; 	de-CH, fr ; 	de

##################################################
# testBestMatchForTraditionalChinese

# Scenario: An application that only supports Simplified Chinese (and some other languages),
# but does not support Traditional Chinese. zh-Hans-CN could be replaced with zh-CN, zh, or
# zh-Hans, it wouldn't make much of a difference.

# The script distance (simplified vs. traditional Han) is considered small enough
# to be an acceptable match. The regional difference is considered almost insignificant.

fr, zh-Hans-CN, en-US ; 	zh-TW ; 	zh-Hans-CN
fr, zh-Hans-CN, en-US ; 	zh-Hant ; 	zh-Hans-CN

# For geo-political reasons, you might want to avoid a zh-Hant -> zh-Hans match.
# In this case, if zh-TW, zh-HK or a tag starting with zh-Hant is requested, you can
# change your call to getBestMatch to include a 2nd language preference.
# "en" is a better match since its distance to "en-US" is closer than the distance
# from "zh-TW" to "zh-CN" (script distance).

fr, zh-Hans-CN, en-US ; 	zh-TW, en ; 	en-US
fr, zh-Hans-CN, en-US ; 	zh-Hant-CN, en, en ; 	en-US
fr, zh-Hans-CN, en-US ; 	zh-Hans, en ; 	zh-Hans-CN

##################################################
# testUndefined
# When the undefined language doesn't match anything in the list,
# getBestMatch returns the default, as usual.

it, fr ; 	und ; 	it

# When it *does* occur in the list, bestMatch returns it, as expected.
it, und ; 	und ; 	und

# The unusual part: max("und") = "en-Latn-US", and since matching is based on maximized
# tags, the undefined language would normally match English. But that would produce the
# counterintuitive results that getBestMatch("und", XLocaleMatcher("it,en")) would be "en", and
# getBestMatch("en", XLocaleMatcher("it,und")) would be "und".

# To avoid that, we change the matcher's definitions of max
# so that max("und")="und". That produces the following, more desirable
# results:

it, en ; 	und ; 	it
it, und ; 	en ; 	it

##################################################
# testGetBestMatch-regionDistance

es-AR, es ; 	es-MX ; 	es-AR
fr, en, en-GB ; 	en-CA ; 	en-GB
de-AT, de-DE, de-CH ; 	de ; 	de-DE

##################################################
# testAsymmetry

mul, nl ; 	af ; 	nl	# af => nl
mul, af ; 	nl ; 	mul	# but nl !=> af

##################################################
# testGetBestMatchForList-matchOnMaximized2

# ja-JP matches ja on likely subtags, and it's listed first, thus it wins over the second preference en-GB.

fr, en-GB, ja, es-ES, es-MX ; 	ja-JP, en-GB ; 	ja	# Match for ja-JP, with likely region subtag

# Check that if the preference is maximized already, it works as well.

fr, en-GB, ja, es-ES, es-MX ; 	ja-Jpan-JP, en-GB ; 	ja	# Match for ja-Jpan-JP (maximized already)

##################################################
# testGetBestMatchForList-closeEnoughMatchOnMaximized

en-GB, en, de, fr, ja ; 	de-CH, fr ; 	de
en-GB, en, de, fr, ja ; 	en-US, ar, nl, de, ja ; 	en

##################################################
# testGetBestMatchForPortuguese

# pt might be supported and not pt-PT

# European user who prefers Spanish over Brazillian Portuguese as a fallback.

pt-PT, pt-BR, es, es-419 ; 	pt-PT, es, pt ; 	pt-PT
pt-PT, pt, es, es-419 ; 	pt-PT, es, pt ; 	pt-PT	# pt implicit

# Brazillian user who prefers South American Spanish over European Portuguese as a fallback.
# The asymmetry between this case and above is because it's "pt-PT" that's missing between the
# matchers as "pt-BR" is a much more common language.

pt-PT, pt-BR, es, es-419 ; 	pt, es-419, pt-PT ; 	pt-BR
pt-PT, pt-BR, es, es-419 ; 	pt-PT, es, pt ; 	pt-PT
pt-PT, pt, es, es-419 ; 	pt-PT, es, pt ; 	pt-PT
pt-PT, pt, es, es-419 ; 	pt, es-419, pt-PT ; 	pt

pt-BR, es, es-419 ; 	pt, es-419, pt-PT ; 	pt-BR

# Code that adds the user's country can get "pt-US" for a user's language.
# That should fall back to "pt-BR".

pt-PT, pt-BR, es, es-419 ; 	pt-US, pt-PT ; 	pt-BR
pt-PT, pt, es, es-419 ; 	pt-US, pt-PT, pt ; 	pt	# pt-BR implicit

##################################################
# testVariantWithScriptMatch 1 and 2

fr, en, sv ; 	en-GB ; 	en
fr, en, sv ; 	en-GB ; 	en
en, sv ; 	en-GB, sv ; 	en

##################################################
# testLongLists

en, sv ; 	sv ; 	sv
af, am, ar, az, be, bg, bn, bs, ca, cs, cy, cy, da, de, el, en, en-GB, es, es-419, et, eu, fa, fi, fil, fr, ga, gl, gu, hi, hr, hu, hy, id, is, it, iw, ja, ka, kk, km, kn, ko, ky, lo, lt, lv, mk, ml, mn, mr, ms, my, ne, nl, no, pa, pl, pt, pt-PT, ro, ru, si, sk, sl, sq, sr, sr-Latn, sv, sw, ta, te, th, tr, uk, ur, uz, vi, zh-CN, zh-TW, zu ; 	sv ; 	sv
